,Type,Date,Affected,Deaths,Relocated
589,Fire,2008/1/19,1,0,0
590,Fire,1992/4/3,4,0,0
591,Fire,2001/12/27,0,0,0
592,Fire,2001/12/13,0,0,0
593,Fire,2001/12/9,4,0,0
594,Contamination,2001/12/6,0,0,0
595,Fire,1992/3/20,100,0,0
596,Fire,2001/12/2,0,0,0
597,Forestal fire,1992/3/8,1,0,0
598,Fire,2001/11/5,0,0,0
599,Fire,2001/11/4,2,0,0
600,Fire,1992/2/26,0,0,0
601,Fire,1992/2/25,3,0,0
602,Fire,2001/10/29,2,0,0
603,Contamination,2001/10/29,0,0,0
604,Fire,1992/2/19,2,0,0
605,Fire,2001/10/26,0,0,0
606,Fire,1992/2/10,2,0,0
607,Accident,2001/9/16,0,0,0
608,Forestal fire,1992/2/10,1,0,0
609,Fire,2001/8/28,2,0,0
610,Fire,2001/8/26,2,0,2
611,Fire,2001/8/25,0,0,0
612,Fire,2001/8/21,2,0,0
613,Structural collapse,2001/8/20,0,0,0
614,Fire,2001/8/18,0,0,0
615,Accident,2001/8/18,1,0,0
616,Fire,2001/8/15,1,0,0
617,Fire,2001/7/0,0,0,0
618,Leak,2001/8/8,0,0,0
619,Fire,2001/8/0,0,0,0
620,Fire,2001/7/30,0,0,0
621,Landslide,2001/7/13,0,0,0
622,Electrical storm,2001/7/14,0,0,0
623,Fire,2001/7/14,5,0,0
624,Fire,2001/7/12,3,0,0
625,Landslide,2001/0/0,0,0,0
626,Fire,2001/7/10,6,0,0
627,Fire,2001/7/10,5,0,0
628,Fire,2001/7/6,1,0,0
629,Fire,2001/6/30,1,0,0
630,Fire,2001/6/29,5,0,0
631,Fire,2001/6/28,4,0,0
632,Structural collapse,2001/6/0,1,1,0
633,Fire,2001/6/12,1,0,0
634,Accident,2001/6/12,0,0,0
635,Fire,2001/6/8,4,0,4
636,Fire,2001/6/5,5,0,0
637,Biological migration or loss,2001/0/0,0,0,0
638,Fire,2001/5/26,7,0,0
639,Fire,2001/5/23,9,0,0
640,Fire,2001/5/19,1,0,1
641,Fire,2001/5/18,14,0,13
642,Structural collapse,2001/5/16,3,0,0
643,Forestal fire,2001/5/13,0,0,0
644,Fire,1992/1/29,6,0,0
645,Fire,1992/1/27,4,0,0
646,Fire,1992/1/24,5,0,0
647,Fire,1992/1/20,19,0,0
648,Fire,1992/1/6,2,0,0
649,Fire,1991/12/27,0,3,0
650,Fire,1992/1/1,4,0,0
651,Fire,2001/4/28,1,0,0
652,Fire,2001/4/27,6,0,0
653,Fire,2001/4/25,1,0,0
654,Structural collapse,2001/4/26,0,0,0
655,Fire,2001/4/23,1,0,0
656,Fire,2001/4/22,2,0,0
657,Fire,2001/4/15,2,0,0
658,Fire,2001/4/9,52,0,0
659,Fire,2001/4/6,0,0,0
660,Fire,2001/4/6,0,0,0
661,Fire,2001/4/5,3,0,0
662,Fire,2001/4/1,1,0,0
663,Fire,2001/3/29,10,0,0
664,Fire,2001/3/17,0,0,0
665,Fire,2001/3/17,0,0,0
666,Fire,2001/3/17,0,0,0
667,Fire,2001/3/17,0,0,0
668,Fire,2001/3/17,0,0,0
669,Other,2001/3/14,0,0,0
670,Other,2001/3/14,0,0,0
671,Other,2001/3/14,0,0,0
672,Fire,2001/3/10,0,0,0
673,Contamination,2001/0/0,0,0,0
674,Fire,2001/3/5,5,0,0
675,Fire,2001/3/5,7,0,0
676,Fire,2001/2/27,1,1,0
677,Fire,2001/2/27,3,0,0
678,Fire,2001/2/23,0,0,0
679,Change in coastline,1989/9/4,0,0,0
680,Fire,2001/2/23,11,0,0
681,Inundation,1989/9/4,0,0,0
682,Fire,2001/2/20,8,0,0
683,Biological migration or loss,1996/6/24,0,0,0
684,Fire,2001/2/14,0,0,0
685,Fire,2001/2/6,1,0,0
686,Inundation,1989/3/30,0,0,0
687,Fire,1989/6/3,0,0,0
688,Plague,1996/2/21,255,0,0
689,Fire,1996/10/25,0,0,0
690,Inundation,1996/10/12,0,0,0
691,Inundation,1996/10/12,0,0,0
692,Inundation,1996/10/12,0,0,0
693,Inundation,1996/10/12,0,0,0
694,Fire,2001/1/24,0,0,0
695,Fire,2001/1/22,4,1,0
696,Fire,2001/1/18,1,0,0
697,Fire,2001/1/17,1,0,0
698,Fire,2001/1/5,0,0,0
699,Fire,2001/1/5,7,0,0
700,Fire,2001/1/0,2,0,0
701,Fire,1985/12/29,2,0,0
702,Fire,1985/11/27,0,0,0
703,Inundation,1985/11/21,9,0,0
704,Explosion,1985/11/14,1,0,0
705,Fire,1985/11/12,1,0,0
