,Serial,Event,Country,Country Code,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
770,1261.0,EQ - Earthquake,Fiji,FJI,2011/4/3,0,0,0,0,0,0,0,0.0,0
771,1246.0,TC - Tropical Cyclone,New Caledonia,NCL,2011/1/13,0,0,0,0,600,0,600,742000.0,0
772,1244.0,EP - Epidemic,Papua New Guinea,PNG,2010/11/9,16,0,0,0,320,0,0,0.0,0
773,1243.0,EQ - Earthquake,Vanuatu,VUT,2010/11/9,0,0,0,0,0,0,0,0.0,0
774,1242.0,VO - Volcano,Papua New Guinea,PNG,2010/6/15,0,0,0,0,0,0,0,0.0,0
775,1241.0,EP - Epidemic,Fiji,FJI,2009/11/14,0,0,0,0,940,0,0,0.0,0
776,1240.0,VO - Volcano,Vanuatu,VUT,2010/5/31,0,0,0,0,0,0,0,0.0,0
777,1283.0,FL - Flood,Fiji,FJI,2012/1/22,8,8,0,0,178153,0,4561,0.0,50047344
778,1282.0,FL - Flood,Fiji,FJI,2012/1/5,0,0,0,0,0,0,0,0.0,0
779,1281.0,EP - Epidemic,Fiji,FJI,2011/12/20,0,0,0,0,19,0,0,0.0,0
780,1280.0,FL - Flood,Papua New Guinea,PNG,2012/9/1,5,0,0,0,200000,0,0,27000.0,6000000
781,1279.0,DR - Drought,Niue,NIU,2012/8/23,0,0,0,0,0,0,0,0.0,0
782,1278.0,EQ - Earthquake,Solomon Islands,SLB,2012/7/25,0,0,0,0,0,0,0,0.0,0
783,1277.0,FL - Flood,Papua New Guinea,PNG,2012/6/9,0,0,0,0,48720,0,0,0.0,0
784,1276.0,FL - Flood,Solomon Islands,SLB,2012/6/1,0,0,0,0,7235,0,0,0.0,0
785,1259.0,TC - Tropical Cyclone,Fiji,FJI,2011/3/24,0,0,0,0,0,0,0,0.0,0
786,1255.0,TC - Tropical Cyclone,Vanuatu,VUT,2011/2/20,0,0,0,0,32000,0,0,0.0,0
787,1254.0,AC - Technical Disaster,Papua New Guinea,PNG,2011/2/13,1,0,0,0,0,0,0,0.0,0
788,1252.0,TC - Tropical Cyclone,Vanuatu,VUT,2011/1/30,1,0,0,0,13,0,0,0.0,0
789,1251.0,EP - Epidemic,New Caledonia,NCL,2011/1/27,3,0,0,0,30,0,0,0.0,0
790,1249.0,TC - Tropical Cyclone,Fiji,FJI,2011/1/23,0,0,0,0,0,0,0,1941501.0,0
791,1247.0,FL - Flood,Fiji,FJI,2011/1/13,1,0,0,0,0,0,0,0.0,0
792,1238.0,FL - Flood,Papua New Guinea,PNG,2010/5/28,0,0,0,0,0,0,0,0.0,0
793,1237.0,EQ - Earthquake,Solomon Islands,SLB,2010/5/28,0,2,0,10,8067,0,10,0.0,0
794,1235.0,TC - Tropical Cyclone,Vanuatu,VUT,2010/3/13,0,0,0,0,2821,0,0,0.0,0
795,1234.0,TC - Tropical Cyclone,Fiji,FJI,2010/3/13,3,0,1,0,39101,0,11844,43600000.0,84000000
796,1233.0,TC - Tropical Cyclone,Cook Islands,COK,2010/3/12,1,0,0,0,0,0,0,0.0,0
797,1230.0,EP - Epidemic,Papua New Guinea,PNG,2009/9/7,168,0,0,0,7096,0,0,46866.86,0
798,1229.0,TC - Tropical Cyclone,Cook Islands,COK,2010/2/10,1,8,0,0,1671,0,0,140434.0,0
799,1228.0,TC - Tropical Cyclone,Cook Islands,COK,2010/2/2,1,11,0,0,7200,0,3400,70000000.0,0
800,1215.0,TS - Tsunami,Tonga,TON,2009/9/30,9,7,0,0,335,500,0,0.0,0
801,1214.0,TS - Tsunami,Samoa,WSM,2009/9/29,223,310,18,0,30000,3200,3500,39000000.0,26000000
802,1213.0,TS - Tsunami,American Samoa,ASM,2009/9/29,180,0,0,0,142,0,0,0.0,0
803,1158.0,VO - Volcano,Tonga,TON,2009/3/18,0,0,0,0,0,0,0,0.0,0
804,1157.0,LS - Landslide,Papua New Guinea,PNG,2009/3/10,1,0,0,0,1000,0,0,0.0,0
805,1111.0,FR - Fire,Samoa,WSM,2008/9/8,0,0,0,0,0,0,0,0.0,0
806,1105.0,EP - Epidemic,Fiji,FJI,2008/9/3,0,0,0,0,53,0,0,0.0,0
807,1103.0,VO - Volcano,Solomon Islands,SLB,1567/0/0,0,0,0,0,0,0,0,0.0,0
808,1102.0,VO - Volcano,Solomon Islands,SLB,1595/0/0,0,0,0,0,0,0,0,0.0,0
